"date","year","month","day","5722002"
1979-01-01,"1979","01","01",3.507
1979-01-02,"1979","01","02",3.95
1979-01-03,"1979","01","03",4.052
1979-01-04,"1979","01","04",4.118
1979-01-05,"1979","01","05",3.787
1979-01-06,"1979","01","06",3.557
1979-01-07,"1979","01","07",3.54
1979-01-08,"1979","01","08",3.612
1979-01-09,"1979","01","09",3.841
1979-01-10,"1979","01","10",3.652
1979-01-11,"1979","01","11",3.22
1979-01-12,"1979","01","12",2.391
1979-01-13,"1979","01","13",3.565
1979-01-14,"1979","01","14",3.764
1979-01-15,"1979","01","15",3.618
1979-01-16,"1979","01","16",3.534
1979-01-17,"1979","01","17",3.767
1979-01-18,"1979","01","18",3.5
1979-01-19,"1979","01","19",3.324
1979-01-20,"1979","01","20",3.742
1979-01-21,"1979","01","21",3.406
1979-01-22,"1979","01","22",3.379
1979-01-23,"1979","01","23",3.042
1979-01-24,"1979","01","24",3.321
1979-01-25,"1979","01","25",3.329
1979-01-26,"1979","01","26",3.219
1979-01-27,"1979","01","27",3.58
1979-01-28,"1979","01","28",3.677
1979-01-29,"1979","01","29",3.332
1979-01-30,"1979","01","30",2.599
1979-01-31,"1979","01","31",2.992
1979-02-01,"1979","02","01",3.297
1979-02-02,"1979","02","02",2.954
1979-02-03,"1979","02","03",2.813
1979-02-04,"1979","02","04",3.008
1979-02-05,"1979","02","05",3.138
1979-02-06,"1979","02","06",2.85
1979-02-07,"1979","02","07",2.792
1979-02-08,"1979","02","08",2.245
1979-02-09,"1979","02","09",2.867
1979-02-10,"1979","02","10",3.399
1979-02-11,"1979","02","11",3.143
1979-02-12,"1979","02","12",3.12
1979-02-13,"1979","02","13",2.848
1979-02-14,"1979","02","14",2.023
1979-02-15,"1979","02","15",3.034
1979-02-16,"1979","02","16",3.107
1979-02-17,"1979","02","17",2.907
1979-02-18,"1979","02","18",3.057
1979-02-19,"1979","02","19",2.72
1979-02-20,"1979","02","20",3.57
1979-02-21,"1979","02","21",3.896
1979-02-22,"1979","02","22",3.34
1979-02-23,"1979","02","23",2.71
1979-02-24,"1979","02","24",2.668
1979-02-25,"1979","02","25",3.269
1979-02-26,"1979","02","26",3.151
1979-02-27,"1979","02","27",3.023
1979-02-28,"1979","02","28",3.242
1979-03-01,"1979","03","01",2.816
1979-03-02,"1979","03","02",2.395
1979-03-03,"1979","03","03",2.829
1979-03-04,"1979","03","04",2.407
1979-03-05,"1979","03","05",2.862
1979-03-06,"1979","03","06",2.534
1979-03-07,"1979","03","07",3.062
1979-03-08,"1979","03","08",2.432
1979-03-09,"1979","03","09",2.759
1979-03-10,"1979","03","10",2.607
1979-03-11,"1979","03","11",2.386
1979-03-12,"1979","03","12",2.168
1979-03-13,"1979","03","13",2.842
1979-03-14,"1979","03","14",2.855
1979-03-15,"1979","03","15",2.696
1979-03-16,"1979","03","16",2.781
1979-03-17,"1979","03","17",2.709
1979-03-18,"1979","03","18",2.594
1979-03-19,"1979","03","19",2.691
1979-03-20,"1979","03","20",2.92
1979-03-21,"1979","03","21",2.321
1979-03-22,"1979","03","22",2.179
1979-03-23,"1979","03","23",2.624
1979-03-24,"1979","03","24",2.46
1979-03-25,"1979","03","25",2.201
1979-03-26,"1979","03","26",2.093
1979-03-27,"1979","03","27",2.192
1979-03-28,"1979","03","28",2.454
1979-03-29,"1979","03","29",2.435
1979-03-30,"1979","03","30",2.221
1979-03-31,"1979","03","31",2.636
1979-04-01,"1979","04","01",2.35
1979-04-02,"1979","04","02",1.647
1979-04-03,"1979","04","03",1.16
1979-04-04,"1979","04","04",1.099
1979-04-05,"1979","04","05",2.018
1979-04-06,"1979","04","06",2.423
1979-04-07,"1979","04","07",2.151
1979-04-08,"1979","04","08",1.868
1979-04-09,"1979","04","09",2.099
1979-04-10,"1979","04","10",2.205
1979-04-11,"1979","04","11",2.078
1979-04-12,"1979","04","12",1.721
1979-04-13,"1979","04","13",1.792
1979-04-14,"1979","04","14",2.098
1979-04-15,"1979","04","15",2.319
1979-04-16,"1979","04","16",1.984
1979-04-17,"1979","04","17",1.992
1979-04-18,"1979","04","18",1.799
1979-04-19,"1979","04","19",1.934
1979-04-20,"1979","04","20",2.026
1979-04-21,"1979","04","21",1.882
1979-04-22,"1979","04","22",1.935
1979-04-23,"1979","04","23",1.925
1979-04-24,"1979","04","24",1.649
1979-04-25,"1979","04","25",1.684
1979-04-26,"1979","04","26",1.865
1979-04-27,"1979","04","27",1.287
1979-04-28,"1979","04","28",1.027
1979-04-29,"1979","04","29",1.436
1979-04-30,"1979","04","30",1.518
1979-05-01,"1979","05","01",1.311
1979-05-02,"1979","05","02",0.869
1979-05-03,"1979","05","03",1.154
1979-05-04,"1979","05","04",1.476
1979-05-05,"1979","05","05",1.189
1979-05-06,"1979","05","06",1.239
1979-05-07,"1979","05","07",1.301
1979-05-08,"1979","05","08",1.181
1979-05-09,"1979","05","09",1.35
1979-05-10,"1979","05","10",0.973
1979-05-11,"1979","05","11",1.258
1979-05-12,"1979","05","12",1.368
1979-05-13,"1979","05","13",1.144
1979-05-14,"1979","05","14",1.459
1979-05-15,"1979","05","15",1.027
1979-05-16,"1979","05","16",0.951
1979-05-17,"1979","05","17",0.802
1979-05-18,"1979","05","18",1.042
1979-05-19,"1979","05","19",1.333
1979-05-20,"1979","05","20",1.343
1979-05-21,"1979","05","21",1.007
1979-05-22,"1979","05","22",1.242
1979-05-23,"1979","05","23",1.264
1979-05-24,"1979","05","24",1.279
1979-05-25,"1979","05","25",0.98
1979-05-26,"1979","05","26",1.281
1979-05-27,"1979","05","27",1.073
1979-05-28,"1979","05","28",0.832
1979-05-29,"1979","05","29",0.934
1979-05-30,"1979","05","30",1.298
1979-05-31,"1979","05","31",1.319
1979-06-01,"1979","06","01",1.178
1979-06-02,"1979","06","02",0.983
1979-06-03,"1979","06","03",0.757
1979-06-04,"1979","06","04",0.868
1979-06-05,"1979","06","05",0.863
1979-06-06,"1979","06","06",0.831
1979-06-07,"1979","06","07",0.939
1979-06-08,"1979","06","08",1.125
1979-06-09,"1979","06","09",1.008
1979-06-10,"1979","06","10",0.866
1979-06-11,"1979","06","11",0.888
1979-06-12,"1979","06","12",0.967
1979-06-13,"1979","06","13",1.077
1979-06-14,"1979","06","14",1.023
1979-06-15,"1979","06","15",0.967
1979-06-16,"1979","06","16",1.174
1979-06-17,"1979","06","17",1.077
1979-06-18,"1979","06","18",1.002
1979-06-19,"1979","06","19",1.025
1979-06-20,"1979","06","20",1.054
1979-06-21,"1979","06","21",1.133
1979-06-22,"1979","06","22",0.832
1979-06-23,"1979","06","23",0.696
1979-06-24,"1979","06","24",0.942
1979-06-25,"1979","06","25",1.167
1979-06-26,"1979","06","26",1.203
1979-06-27,"1979","06","27",1.198
1979-06-28,"1979","06","28",1.156
1979-06-29,"1979","06","29",1.003
1979-06-30,"1979","06","30",0.732
1979-07-01,"1979","07","01",0.963
1979-07-02,"1979","07","02",1.111
1979-07-03,"1979","07","03",1.051
1979-07-04,"1979","07","04",1.192
1979-07-05,"1979","07","05",1.163
1979-07-06,"1979","07","06",1.1
1979-07-07,"1979","07","07",1.142
1979-07-08,"1979","07","08",1.397
1979-07-09,"1979","07","09",1.441
1979-07-10,"1979","07","10",1.335
1979-07-11,"1979","07","11",1.341
1979-07-12,"1979","07","12",1.312
1979-07-13,"1979","07","13",1.058
1979-07-14,"1979","07","14",1.036
1979-07-15,"1979","07","15",1.273
1979-07-16,"1979","07","16",1.282
1979-07-17,"1979","07","17",0.99
1979-07-18,"1979","07","18",0.825
1979-07-19,"1979","07","19",1.354
1979-07-20,"1979","07","20",1.384
1979-07-21,"1979","07","21",1.257
1979-07-22,"1979","07","22",1.18
1979-07-23,"1979","07","23",0.906
1979-07-24,"1979","07","24",0.96
1979-07-25,"1979","07","25",1.051
1979-07-26,"1979","07","26",0.759
1979-07-27,"1979","07","27",0.866
1979-07-28,"1979","07","28",0.912
1979-07-29,"1979","07","29",1.074
1979-07-30,"1979","07","30",0.839
1979-07-31,"1979","07","31",0.667
1979-08-01,"1979","08","01",0.61
1979-08-02,"1979","08","02",0.911
1979-08-03,"1979","08","03",0.785
1979-08-04,"1979","08","04",0.954
1979-08-05,"1979","08","05",1.144
1979-08-06,"1979","08","06",1.123
1979-08-07,"1979","08","07",1.39
1979-08-08,"1979","08","08",1.423
1979-08-09,"1979","08","09",1.714
1979-08-10,"1979","08","10",1.628
1979-08-11,"1979","08","11",1.627
1979-08-12,"1979","08","12",1.539
1979-08-13,"1979","08","13",1.47
1979-08-14,"1979","08","14",1.354
1979-08-15,"1979","08","15",1.204
1979-08-16,"1979","08","16",1.33
1979-08-17,"1979","08","17",1.676
1979-08-18,"1979","08","18",1.868
1979-08-19,"1979","08","19",1.798
1979-08-20,"1979","08","20",1.656
1979-08-21,"1979","08","21",1.358
1979-08-22,"1979","08","22",1.61
1979-08-23,"1979","08","23",1.605
1979-08-24,"1979","08","24",1.069
1979-08-25,"1979","08","25",1.011
1979-08-26,"1979","08","26",1.267
1979-08-27,"1979","08","27",0.916
1979-08-28,"1979","08","28",1.202
1979-08-29,"1979","08","29",1.543
1979-08-30,"1979","08","30",0.922
1979-08-31,"1979","08","31",0.921
1979-09-01,"1979","09","01",0.961
1979-09-02,"1979","09","02",1.438
1979-09-03,"1979","09","03",1.712
1979-09-04,"1979","09","04",2.113
1979-09-05,"1979","09","05",2.124
1979-09-06,"1979","09","06",1.728
1979-09-07,"1979","09","07",1.068
1979-09-08,"1979","09","08",1.497
1979-09-09,"1979","09","09",1.978
1979-09-10,"1979","09","10",1.741
1979-09-11,"1979","09","11",1.399
1979-09-12,"1979","09","12",1.226
