"date","year","month","day","5722002"
1979-01-01,"1979","01","01",107.917
1979-02-01,"1979","02","01",84.191
1979-03-01,"1979","03","01",79.161
1979-04-01,"1979","04","01",54.971
1979-05-01,"1979","05","01",36.279
1979-06-01,"1979","06","01",29.734
1979-07-01,"1979","07","01",34.221
1979-08-01,"1979","08","01",40.628
1979-09-01,"1979","09","01",47.657
1979-10-01,"1979","10","01",78.041
1979-11-01,"1979","11","01",82.085
1979-12-01,"1979","12","01",94.361
1980-01-01,"1980","01","01",105.75
1980-02-01,"1980","02","01",82.582
1980-03-01,"1980","03","01",82.758
1980-04-01,"1980","04","01",42.058
1980-05-01,"1980","05","01",32.114
1980-06-01,"1980","06","01",24.865
1980-07-01,"1980","07","01",24.612
1980-08-01,"1980","08","01",40.985
1980-09-01,"1980","09","01",57.211
1980-10-01,"1980","10","01",76.252
1980-11-01,"1980","11","01",86.811
1980-12-01,"1980","12","01",101.558
1981-01-01,"1981","01","01",100.049
1981-02-01,"1981","02","01",91.071
1981-03-01,"1981","03","01",80.278
1981-04-01,"1981","04","01",55.343
1981-05-01,"1981","05","01",32.112
1981-06-01,"1981","06","01",24.171
1981-07-01,"1981","07","01",29.001
1981-08-01,"1981","08","01",40.01
1981-09-01,"1981","09","01",55.421
1981-10-01,"1981","10","01",73.038
1981-11-01,"1981","11","01",89.25
1981-12-01,"1981","12","01",111.299
1982-01-01,"1982","01","01",104.236
1982-02-01,"1982","02","01",81.338
1982-03-01,"1982","03","01",77.436
1982-04-01,"1982","04","01",57.691
1982-05-01,"1982","05","01",34.061
1982-06-01,"1982","06","01",17.53
1982-07-01,"1982","07","01",23.518
1982-08-01,"1982","08","01",39.095
1982-09-01,"1982","09","01",48.936
1982-10-01,"1982","10","01",72.843
1982-11-01,"1982","11","01",84.371
1982-12-01,"1982","12","01",105.216
1983-01-01,"1983","01","01",102.856
1983-02-01,"1983","02","01",86.695
1983-03-01,"1983","03","01",79.137
1983-04-01,"1983","04","01",54.748
1983-05-01,"1983","05","01",32.16
1983-06-01,"1983","06","01",18.013
1983-07-01,"1983","07","01",23.121
1983-08-01,"1983","08","01",33.427
1983-09-01,"1983","09","01",45.884
1983-10-01,"1983","10","01",80.225
1983-11-01,"1983","11","01",94.166
1983-12-01,"1983","12","01",109.868
1984-01-01,"1984","01","01",100.825
1984-02-01,"1984","02","01",87.912
1984-03-01,"1984","03","01",74.164
1984-04-01,"1984","04","01",54.625
1984-05-01,"1984","05","01",28.09
1984-06-01,"1984","06","01",17.535
1984-07-01,"1984","07","01",24.823
1984-08-01,"1984","08","01",34.437
1984-09-01,"1984","09","01",49.346
1984-10-01,"1984","10","01",75.239
1984-11-01,"1984","11","01",83.662
1984-12-01,"1984","12","01",103.447
1985-01-01,"1985","01","01",97.817
1985-02-01,"1985","02","01",88.865
1985-03-01,"1985","03","01",75.769
1985-04-01,"1985","04","01",54.021
1985-05-01,"1985","05","01",38.479
1985-06-01,"1985","06","01",29.3
1985-07-01,"1985","07","01",25.763
1985-08-01,"1985","08","01",39.273
1985-09-01,"1985","09","01",57.119
1985-10-01,"1985","10","01",70.733
1985-11-01,"1985","11","01",91.177
1985-12-01,"1985","12","01",106.146
1986-01-01,"1986","01","01",108.161
1986-02-01,"1986","02","01",80.6
1986-03-01,"1986","03","01",76.543
1986-04-01,"1986","04","01",51.651
1986-05-01,"1986","05","01",31.75
1986-06-01,"1986","06","01",21.242
1986-07-01,"1986","07","01",33.975
1986-08-01,"1986","08","01",37.976
1986-09-01,"1986","09","01",53.45
1986-10-01,"1986","10","01",75.668
1986-11-01,"1986","11","01",82.9
1986-12-01,"1986","12","01",110.162
1987-01-01,"1987","01","01",110.947
1987-02-01,"1987","02","01",90.418
1987-03-01,"1987","03","01",74.638
1987-04-01,"1987","04","01",57.122
1987-05-01,"1987","05","01",28.157
1987-06-01,"1987","06","01",26.886
1987-07-01,"1987","07","01",22.042
1987-08-01,"1987","08","01",33.39
1987-09-01,"1987","09","01",50.528
1987-10-01,"1987","10","01",74.936
1987-11-01,"1987","11","01",96.796
1987-12-01,"1987","12","01",103.953
1988-01-01,"1988","01","01",106.467
1988-02-01,"1988","02","01",89.798
1988-03-01,"1988","03","01",76.05
1988-04-01,"1988","04","01",56.353
1988-05-01,"1988","05","01",37.428
1988-06-01,"1988","06","01",27.129
1988-07-01,"1988","07","01",27.731
1988-08-01,"1988","08","01",35.333
1988-09-01,"1988","09","01",52.097
1988-10-01,"1988","10","01",78.485
1988-11-01,"1988","11","01",96.072
1988-12-01,"1988","12","01",103.064
1989-01-01,"1989","01","01",105.9
1989-02-01,"1989","02","01",89.761
1989-03-01,"1989","03","01",77.241
1989-04-01,"1989","04","01",58.077
1989-05-01,"1989","05","01",37.583
1989-06-01,"1989","06","01",28.811
1989-07-01,"1989","07","01",29.029
1989-08-01,"1989","08","01",35.139
1989-09-01,"1989","09","01",51.71
1989-10-01,"1989","10","01",82.099
1989-11-01,"1989","11","01",93.975
1989-12-01,"1989","12","01",105.353
1990-01-01,"1990","01","01",114.471
1990-02-01,"1990","02","01",84.926
1990-03-01,"1990","03","01",76.547
1990-04-01,"1990","04","01",49.349
1990-05-01,"1990","05","01",35.617
1990-06-01,"1990","06","01",28.044
1990-07-01,"1990","07","01",26.89
1990-08-01,"1990","08","01",45.116
1990-09-01,"1990","09","01",54.628
1990-10-01,"1990","10","01",73.388
1990-11-01,"1990","11","01",93.624
1990-12-01,"1990","12","01",105.698
1991-01-01,"1991","01","01",105.798
1991-02-01,"1991","02","01",91.236
1991-03-01,"1991","03","01",82.413
1991-04-01,"1991","04","01",50.827
1991-05-01,"1991","05","01",34.13
1991-06-01,"1991","06","01",23.01
1991-07-01,"1991","07","01",23.274
1991-08-01,"1991","08","01",39.104
1991-09-01,"1991","09","01",56.283
1991-10-01,"1991","10","01",74.864
1991-11-01,"1991","11","01",88.835
1991-12-01,"1991","12","01",93.995
1992-01-01,"1992","01","01",107.615
1992-02-01,"1992","02","01",83.505
1992-03-01,"1992","03","01",77.388
1992-04-01,"1992","04","01",48.901
1992-05-01,"1992","05","01",27.451
1992-06-01,"1992","06","01",19.191
1992-07-01,"1992","07","01",23.503
1992-08-01,"1992","08","01",38.208
1992-09-01,"1992","09","01",57.406
1992-10-01,"1992","10","01",79.425
1992-11-01,"1992","11","01",86.588
1992-12-01,"1992","12","01",107.812
1993-01-01,"1993","01","01",108.616
1993-02-01,"1993","02","01",84.145
1993-03-01,"1993","03","01",83.438
1993-04-01,"1993","04","01",49.364
1993-05-01,"1993","05","01",29.003
1993-06-01,"1993","06","01",24.091
1993-07-01,"1993","07","01",25.828
1993-08-01,"1993","08","01",42.706
1993-09-01,"1993","09","01",52.589
1993-10-01,"1993","10","01",75.647
1993-11-01,"1993","11","01",91.731
1993-12-01,"1993","12","01",109.508
1994-01-01,"1994","01","01",108.202
1994-02-01,"1994","02","01",83.28
1994-03-01,"1994","03","01",79.148
1994-04-01,"1994","04","01",52.129
1994-05-01,"1994","05","01",37.169
1994-06-01,"1994","06","01",24.659
1994-07-01,"1994","07","01",23.717
1994-08-01,"1994","08","01",40.657
1994-09-01,"1994","09","01",61.018
1994-10-01,"1994","10","01",74.95
1994-11-01,"1994","11","01",95.463
1994-12-01,"1994","12","01",114.593
1995-01-01,"1995","01","01",109.185
1995-02-01,"1995","02","01",82.263
1995-03-01,"1995","03","01",80.2
1995-04-01,"1995","04","01",56.041
1995-05-01,"1995","05","01",41.542
1995-06-01,"1995","06","01",25.436
1995-07-01,"1995","07","01",21.201
1995-08-01,"1995","08","01",34.664
1995-09-01,"1995","09","01",56.231
1995-10-01,"1995","10","01",78.478
1995-11-01,"1995","11","01",96.24
1995-12-01,"1995","12","01",105.274
1996-01-01,"1996","01","01",98.721
1996-02-01,"1996","02","01",89.357
1996-03-01,"1996","03","01",79.335
1996-04-01,"1996","04","01",50.483
1996-05-01,"1996","05","01",40.731
1996-06-01,"1996","06","01",26.891
1996-07-01,"1996","07","01",32.418
1996-08-01,"1996","08","01",38.805
1996-09-01,"1996","09","01",59.928
1996-10-01,"1996","10","01",78.397
1996-11-01,"1996","11","01",101.101
1996-12-01,"1996","12","01",106.94
1997-01-01,"1997","01","01",111.483
1997-02-01,"1997","02","01",92.89
1997-03-01,"1997","03","01",83.602
1997-04-01,"1997","04","01",61.628
1997-05-01,"1997","05","01",40.082
1997-06-01,"1997","06","01",17.675
1997-07-01,"1997","07","01",29.084
1997-08-01,"1997","08","01",39.557
1997-09-01,"1997","09","01",50.842
1997-10-01,"1997","10","01",63.664
1997-11-01,"1997","11","01",84.673
1997-12-01,"1997","12","01",105.452
1998-01-01,"1998","01","01",119.747
1998-02-01,"1998","02","01",78.461
1998-03-01,"1998","03","01",76.662
1998-04-01,"1998","04","01",46.979
1998-05-01,"1998","05","01",36.874
1998-06-01,"1998","06","01",26.558
1998-07-01,"1998","07","01",32.884
1998-08-01,"1998","08","01",42.814
1998-09-01,"1998","09","01",52.659
1998-10-01,"1998","10","01",90.749
1998-11-01,"1998","11","01",98.346
1998-12-01,"1998","12","01",107.335
1999-01-01,"1999","01","01",100.169
