"date","year","month","day","5722002"
1979-01-01,1979,1,1,1.057241045
1979-02-01,1979,2,1,4.6708145042
1979-03-01,1979,3,1,0
1979-04-01,1979,4,1,12.576095749
1979-05-01,1979,5,1,25.812911589
1979-06-01,1979,6,1,0.0078225503
1979-07-01,1979,7,1,106.9035738
1979-08-01,1979,8,1,103.73527693
1979-09-01,1979,9,1,42.77175269995
1979-10-01,1979,10,1,10.1677978
1979-11-01,1979,11,1,32.930055799
1979-12-01,1979,12,1,53.844294242299
1980-01-01,1980,1,1,11.372553366659
1980-02-01,1980,2,1,20.8227205983
1980-03-01,1980,3,1,0
1980-04-01,1980,4,1,168.29410417
1980-05-01,1980,5,1,126.6544892309
1980-06-01,1980,6,1,77.55197744
1980-07-01,1980,7,1,116.516435584
1980-08-01,1980,8,1,12.49168739
1980-09-01,1980,9,1,52.840711171
1980-10-01,1980,10,1,12.896139194
1980-11-01,1980,11,1,7.9713379134
1980-12-01,1980,12,1,14.8958674496
1981-01-01,1981,1,1,3.325142842
1981-02-01,1981,2,1,12.570590126
1981-03-01,1981,3,1,1.0174498
1981-04-01,1981,4,1,10.72631414
1981-05-01,1981,5,1,164.8883771283
1981-06-01,1981,6,1,17.419419257
1981-07-01,1981,7,1,41.0516575
1981-08-01,1981,8,1,58.08339153
1981-09-01,1981,9,1,23.55487122855
1981-10-01,1981,10,1,3.2498842065
1981-11-01,1981,11,1,4.27878440459
1981-12-01,1981,12,1,0.012797839
1982-01-01,1982,1,1,2.7937347458
1982-02-01,1982,2,1,0.1164057
1982-03-01,1982,3,1,26.595732
1982-04-01,1982,4,1,3.4691351034
1982-05-01,1982,5,1,134.96800759
1982-06-01,1982,6,1,470.158993902
1982-07-01,1982,7,1,172.9782415947
1982-08-01,1982,8,1,131.32699240405
1982-09-01,1982,9,1,156.96215682
1982-10-01,1982,10,1,39.856983110921
1982-11-01,1982,11,1,4.0440681
1982-12-01,1982,12,1,0.031486451
1983-01-01,1983,1,1,29.92094038
1983-02-01,1983,2,1,4.0869031981
1983-03-01,1983,3,1,0.47762753
1983-04-01,1983,4,1,28.26700337
1983-05-01,1983,5,1,50.378190481
1983-06-01,1983,6,1,101.096344377249
1983-07-01,1983,7,1,182.317973970761
1983-08-01,1983,8,1,80.3929138972
1983-09-01,1983,9,1,47.7867244358
1983-10-01,1983,10,1,8.22521534
1983-11-01,1983,11,1,0.042172979
1983-12-01,1983,12,1,0
1984-01-01,1984,1,1,5.250629426
1984-02-01,1984,2,1,0.0088084231
1984-03-01,1984,3,1,25.266584215
1984-04-01,1984,4,1,21.883620436
1984-05-01,1984,5,1,92.804499887547
1984-06-01,1984,6,1,83.7239368629
1984-07-01,1984,7,1,412.387165
1984-08-01,1984,8,1,48.1677115154
1984-09-01,1984,9,1,97.8462616814
1984-10-01,1984,10,1,28.0755293
1984-11-01,1984,11,1,22.128140193
1984-12-01,1984,12,1,0.0012437346
1985-01-01,1985,1,1,19.512128588199
1985-02-01,1985,2,1,0.0049749443
1985-03-01,1985,3,1,13.4535979
1985-04-01,1985,4,1,18.4727399085
1985-05-01,1985,5,1,28.0761006844
1985-06-01,1985,6,1,23.15563151
1985-07-01,1985,7,1,81.8721561533
1985-08-01,1985,8,1,1.20261298
1985-09-01,1985,9,1,64.549304721
1985-10-01,1985,10,1,57.736212796
1985-11-01,1985,11,1,4.86880826
1985-12-01,1985,12,1,0
1986-01-01,1986,1,1,0.00040340152
1986-02-01,1986,2,1,14.4351173248
1986-03-01,1986,3,1,0
1986-04-01,1986,4,1,33.380814078
1986-05-01,1986,5,1,186.981959106
1986-06-01,1986,6,1,281.24220371799
1986-07-01,1986,7,1,6.4348928
1986-08-01,1986,8,1,86.1152823601
1986-09-01,1986,9,1,17.46453253
1986-10-01,1986,10,1,19.275411938
1986-11-01,1986,11,1,6.9202659
1986-12-01,1986,12,1,4.374522
1987-01-01,1987,1,1,0.83236808
1987-02-01,1987,2,1,15.81145825
1987-03-01,1987,3,1,21.428491853
1987-04-01,1987,4,1,24.67992094
1987-05-01,1987,5,1,60.21008618
1987-06-01,1987,6,1,56.67879989194
1987-07-01,1987,7,1,420.67542202
1987-08-01,1987,8,1,249.4426809655
1987-09-01,1987,9,1,29.05093762
1987-10-01,1987,10,1,48.9392482
1987-11-01,1987,11,1,0.076982813
1987-12-01,1987,12,1,8.901855664
1988-01-01,1988,1,1,0.019776338
1988-02-01,1988,2,1,0.4219304137
1988-03-01,1988,3,1,6.90067320397
1988-04-01,1988,4,1,4.75146693
1988-05-01,1988,5,1,10.1745687
1988-06-01,1988,6,1,6.5678867
1988-07-01,1988,7,1,83.883884599
1988-08-01,1988,8,1,83.133933421
1988-09-01,1988,9,1,36.232911606
1988-10-01,1988,10,1,0.97571507
1988-11-01,1988,11,1,21.0716498
1988-12-01,1988,12,1,9.368986
1989-01-01,1989,1,1,6.5876633147
