"date","year","month","day","5722002"
1979-01-01,"1979","01","01",17.635
1979-02-01,"1979","02","01",7.774
1979-03-01,"1979","03","01",4.584
1979-04-01,"1979","04","01",2.304
1979-05-01,"1979","05","01",2.104
1979-06-01,"1979","06","01",1.606
1979-07-01,"1979","07","01",1.387
1979-08-01,"1979","08","01",3.774
1979-09-01,"1979","09","01",6.969
1979-10-01,"1979","10","01",7.463
1979-11-01,"1979","11","01",7.734
1979-12-01,"1979","12","01",10.091
1980-01-01,"1980","01","01",7.114
1980-02-01,"1980","02","01",5.698
1980-03-01,"1980","03","01",3.72
1980-04-01,"1980","04","01",7.988
1980-05-01,"1980","05","01",7.439
1980-06-01,"1980","06","01",7.007
1980-07-01,"1980","07","01",6.145
1980-08-01,"1980","08","01",7.057
1980-09-01,"1980","09","01",7.544
1980-10-01,"1980","10","01",11.716
1980-11-01,"1980","11","01",11.311
1980-12-01,"1980","12","01",13.602
1981-01-01,"1981","01","01",8.044
1981-02-01,"1981","02","01",6.31
1981-03-01,"1981","03","01",5.268
1981-04-01,"1981","04","01",2.094
1981-05-01,"1981","05","01",3.428
1981-06-01,"1981","06","01",3.601
1981-07-01,"1981","07","01",2.737
1981-08-01,"1981","08","01",3.743
1981-09-01,"1981","09","01",4.276
1981-10-01,"1981","10","01",5.458
1981-11-01,"1981","11","01",6.754
1981-12-01,"1981","12","01",4.705
1982-01-01,"1982","01","01",4.327
1982-02-01,"1982","02","01",3.183
1982-03-01,"1982","03","01",2.236
1982-04-01,"1982","04","01",1.334
1982-05-01,"1982","05","01",3.635
1982-06-01,"1982","06","01",22.654
1982-07-01,"1982","07","01",21.724
1982-08-01,"1982","08","01",13.399
1982-09-01,"1982","09","01",17.977
1982-10-01,"1982","10","01",20.906
1982-11-01,"1982","11","01",26.11
1982-12-01,"1982","12","01",34.065
1983-01-01,"1983","01","01",25.997
1983-02-01,"1983","02","01",15.185
1983-03-01,"1983","03","01",6.053
1983-04-01,"1983","04","01",4.002
1983-05-01,"1983","05","01",3.234
1983-06-01,"1983","06","01",3.254
1983-07-01,"1983","07","01",4.562
1983-08-01,"1983","08","01",6.061
1983-09-01,"1983","09","01",6.869
1983-10-01,"1983","10","01",18.536
1983-11-01,"1983","11","01",16.087
1983-12-01,"1983","12","01",12.526
1984-01-01,"1984","01","01",7.207
1984-02-01,"1984","02","01",5.129
1984-03-01,"1984","03","01",3.038
1984-04-01,"1984","04","01",2.021
1984-05-01,"1984","05","01",1.726
1984-06-01,"1984","06","01",1.556
1984-07-01,"1984","07","01",5.181
1984-08-01,"1984","08","01",5.899
1984-09-01,"1984","09","01",10.043
1984-10-01,"1984","10","01",22.254
1984-11-01,"1984","11","01",19.73
1984-12-01,"1984","12","01",16.494
1985-01-01,"1985","01","01",10.793
1985-02-01,"1985","02","01",6.359
1985-03-01,"1985","03","01",4.62
1985-04-01,"1985","04","01",3.039
1985-05-01,"1985","05","01",2.756
1985-06-01,"1985","06","01",2.262
1985-07-01,"1985","07","01",3.225
1985-08-01,"1985","08","01",3.431
1985-09-01,"1985","09","01",2.955
1985-10-01,"1985","10","01",4.617
1985-11-01,"1985","11","01",7.085
1985-12-01,"1985","12","01",5.807
1986-01-01,"1986","01","01",4.89
1986-02-01,"1986","02","01",3.574
1986-03-01,"1986","03","01",1.855
1986-04-01,"1986","04","01",1.576
1986-05-01,"1986","05","01",1.946
1986-06-01,"1986","06","01",22.665
1986-07-01,"1986","07","01",4.729
1986-08-01,"1986","08","01",3.58
1986-09-01,"1986","09","01",5.372
1986-10-01,"1986","10","01",8.509
1986-11-01,"1986","11","01",11.486
1986-12-01,"1986","12","01",13.582
1987-01-01,"1987","01","01",9.023
1987-02-01,"1987","02","01",6.446
1987-03-01,"1987","03","01",4.472
1987-04-01,"1987","04","01",2.74
1987-05-01,"1987","05","01",2.627
1987-06-01,"1987","06","01",5.032
1987-07-01,"1987","07","01",18.575
1987-08-01,"1987","08","01",18.854
1987-09-01,"1987","09","01",12.519
1987-10-01,"1987","10","01",25.094
1987-11-01,"1987","11","01",41.26
1987-12-01,"1987","12","01",33.271
1988-01-01,"1988","01","01",23.217
1988-02-01,"1988","02","01",9.261
1988-03-01,"1988","03","01",5.615
1988-04-01,"1988","04","01",3.579
1988-05-01,"1988","05","01",2.738
1988-06-01,"1988","06","01",2.223
1988-07-01,"1988","07","01",2.137
1988-08-01,"1988","08","01",2.744
1988-09-01,"1988","09","01",2.773
1988-10-01,"1988","10","01",4.902
1988-11-01,"1988","11","01",5.115
1988-12-01,"1988","12","01",4.402
1989-01-01,"1989","01","01",4.334
1989-02-01,"1989","02","01",3.593
1989-03-01,"1989","03","01",2.138
1989-04-01,"1989","04","01",1.586
1989-05-01,"1989","05","01",2.125
1989-06-01,"1989","06","01",1.649
1989-07-01,"1989","07","01",1.769
1989-08-01,"1989","08","01",8.051
1989-09-01,"1989","09","01",13.044
1989-10-01,"1989","10","01",18.387
1989-11-01,"1989","11","01",19.013
1989-12-01,"1989","12","01",11.863
1990-01-01,"1990","01","01",7.844
1990-02-01,"1990","02","01",5.98
1990-03-01,"1990","03","01",4.486
1990-04-01,"1990","04","01",3.763
1990-05-01,"1990","05","01",3.731
1990-06-01,"1990","06","01",3.539
1990-07-01,"1990","07","01",3.521
1990-08-01,"1990","08","01",3.703
1990-09-01,"1990","09","01",6.257
1990-10-01,"1990","10","01",7.212
1990-11-01,"1990","11","01",7.301
1990-12-01,"1990","12","01",6.394
1991-01-01,"1991","01","01",5.684
1991-02-01,"1991","02","01",4.84
1991-03-01,"1991","03","01",4.02
1991-04-01,"1991","04","01",3.746
1991-05-01,"1991","05","01",6.684
1991-06-01,"1991","06","01",8.269
1991-07-01,"1991","07","01",15.574
1991-08-01,"1991","08","01",7.531
1991-09-01,"1991","09","01",13.999
1991-10-01,"1991","10","01",14.831
1991-11-01,"1991","11","01",18.813
1991-12-01,"1991","12","01",14.577
1992-01-01,"1992","01","01",12.077
1992-02-01,"1992","02","01",5.571
1992-03-01,"1992","03","01",3.868
1992-04-01,"1992","04","01",2.656
1992-05-01,"1992","05","01",3.556
1992-06-01,"1992","06","01",5.329
1992-07-01,"1992","07","01",5.193
1992-08-01,"1992","08","01",6.026
1992-09-01,"1992","09","01",9.782
1992-10-01,"1992","10","01",14.111
1992-11-01,"1992","11","01",13.051
1992-12-01,"1992","12","01",10.69
1993-01-01,"1993","01","01",8.773
1993-02-01,"1993","02","01",5.262
1993-03-01,"1993","03","01",3.172
1993-04-01,"1993","04","01",3.456
1993-05-01,"1993","05","01",18.458
1993-06-01,"1993","06","01",6.868
1993-07-01,"1993","07","01",4.927
1993-08-01,"1993","08","01",5.098
1993-09-01,"1993","09","01",5.442
1993-10-01,"1993","10","01",6.45
1993-11-01,"1993","11","01",6.718
1993-12-01,"1993","12","01",7.195
1994-01-01,"1994","01","01",6.186
1994-02-01,"1994","02","01",3.563
1994-03-01,"1994","03","01",2.622
1994-04-01,"1994","04","01",1.967
1994-05-01,"1994","05","01",1.454
1994-06-01,"1994","06","01",1.464
1994-07-01,"1994","07","01",3.511
1994-08-01,"1994","08","01",4.359
1994-09-01,"1994","09","01",5.341
1994-10-01,"1994","10","01",6.248
1994-11-01,"1994","11","01",7.117
1994-12-01,"1994","12","01",6.452
1995-01-01,"1995","01","01",5.265
1995-02-01,"1995","02","01",3.111
1995-03-01,"1995","03","01",2.142
1995-04-01,"1995","04","01",1.844
1995-05-01,"1995","05","01",1.577
1995-06-01,"1995","06","01",2.304
1995-07-01,"1995","07","01",2.204
1995-08-01,"1995","08","01",2.72
1995-09-01,"1995","09","01",4.758
1995-10-01,"1995","10","01",4.766
1995-11-01,"1995","11","01",5.728
1995-12-01,"1995","12","01",4.471
1996-01-01,"1996","01","01",2.815
1996-02-01,"1996","02","01",2.05
1996-03-01,"1996","03","01",1.674
1996-04-01,"1996","04","01",1.208
1996-05-01,"1996","05","01",0.701
1996-06-01,"1996","06","01",0.642
1996-07-01,"1996","07","01",0.697
1996-08-01,"1996","08","01",0.815
1996-09-01,"1996","09","01",0.804
1996-10-01,"1996","10","01",1.353
1996-11-01,"1996","11","01",1.456
1996-12-01,"1996","12","01",1.658
1997-01-01,"1997","01","01",2.318
1997-02-01,"1997","02","01",1.711
1997-03-01,"1997","03","01",1.444
1997-04-01,"1997","04","01",0.956
1997-05-01,"1997","05","01",1.364
1997-06-01,"1997","06","01",12.467
1997-07-01,"1997","07","01",6.21
1997-08-01,"1997","08","01",10.409
1997-09-01,"1997","09","01",16.96
1997-10-01,"1997","10","01",17.755
1997-11-01,"1997","11","01",22.067
1997-12-01,"1997","12","01",19.735
1998-01-01,"1998","01","01",13.327
1998-02-01,"1998","02","01",6.207
1998-03-01,"1998","03","01",3.747
1998-04-01,"1998","04","01",2.811
1998-05-01,"1998","05","01",2.099
1998-06-01,"1998","06","01",1.677
1998-07-01,"1998","07","01",1.304
1998-08-01,"1998","08","01",0.919
1998-09-01,"1998","09","01",0.809
1998-10-01,"1998","10","01",1.24
1998-11-01,"1998","11","01",1.581
1998-12-01,"1998","12","01",2.76
1999-01-01,"1999","01","01",2.596
1999-02-01,"1999","02","01",2.577
1999-03-01,"1999","03","01",1.54
1999-04-01,"1999","04","01",1.073
1999-05-01,"1999","05","01",0.774
1999-06-01,"1999","06","01",0.701
1999-07-01,"1999","07","01",1.043
1999-08-01,"1999","08","01",1.65
1999-09-01,"1999","09","01",8.571
1999-10-01,"1999","10","01",6.942
1999-11-01,"1999","11","01",7.479
1999-12-01,"1999","12","01",5.688
2000-01-01,"2000","01","01",4.117
2000-02-01,"2000","02","01",2.631
2000-03-01,"2000","03","01",1.584
2000-04-01,"2000","04","01",0.769
2000-05-01,"2000","05","01",1.02
2000-06-01,"2000","06","01",5.149
2000-07-01,"2000","07","01",9.252
2000-08-01,"2000","08","01",8.295
2000-09-01,"2000","09","01",10.626
2000-10-01,"2000","10","01",18.723
2000-11-01,"2000","11","01",14.394
2000-12-01,"2000","12","01",15.066
2001-01-01,"2001","01","01",7.179
2001-02-01,"2001","02","01",3.745
2001-03-01,"2001","03","01",1.198
2001-04-01,"2001","04","01",1.074
2001-05-01,"2001","05","01",2.331
