"date","year","month","day","5722002"
1979-01-01,1979,1,1,15.508767
1979-01-02,1979,1,2,17.444455
1979-01-03,1979,1,3,18.633258
1979-01-04,1979,1,4,19.202199
1979-01-05,1979,1,5,18.369534
1979-01-06,1979,1,6,17.818673
1979-01-07,1979,1,7,17.658082
1979-01-08,1979,1,8,17.641687
1979-01-09,1979,1,9,18.064247
1979-01-10,1979,1,10,17.368949
1979-01-11,1979,1,11,15.628102
1979-01-12,1979,1,12,12.474448
1979-01-13,1979,1,13,15.803451
1979-01-14,1979,1,14,17.203164
1979-01-15,1979,1,15,17.039775
1979-01-16,1979,1,16,16.876633
1979-01-17,1979,1,17,18.199933
1979-01-18,1979,1,18,18.440214
1979-01-19,1979,1,19,17.517214
1979-01-20,1979,1,20,18.239355
1979-01-21,1979,1,21,17.587793
1979-01-22,1979,1,22,16.993866
1979-01-23,1979,1,23,15.394968
1979-01-24,1979,1,24,15.971836
1979-01-25,1979,1,25,16.846773
1979-01-26,1979,1,26,16.729083
1979-01-27,1979,1,27,17.478941
1979-01-28,1979,1,28,18.17439
1979-01-29,1979,1,29,17.205313
1979-01-30,1979,1,30,15.388486
1979-01-31,1979,1,31,15.591686
1979-02-01,1979,2,1,16.286002
1979-02-02,1979,2,2,15.785034
1979-02-03,1979,2,3,14.965668
1979-02-04,1979,2,4,14.445378
1979-02-05,1979,2,5,15.616963
1979-02-06,1979,2,6,14.096181
1979-02-07,1979,2,7,14.351469
1979-02-08,1979,2,8,12.136059
1979-02-09,1979,2,9,12.985506
1979-02-10,1979,2,10,15.96373
1979-02-11,1979,2,11,15.583051
1979-02-12,1979,2,12,15.344261
1979-02-13,1979,2,13,14.205466
1979-02-14,1979,2,14,11.255887
1979-02-15,1979,2,15,14.394569
1979-02-16,1979,2,16,15.166944
1979-02-17,1979,2,17,15.032416
1979-02-18,1979,2,18,15.820589
1979-02-19,1979,2,19,14.322907
1979-02-20,1979,2,20,18.25154
1979-02-21,1979,2,21,21.186822
1979-02-22,1979,2,22,18.89263
1979-02-23,1979,2,23,16.361316
1979-02-24,1979,2,24,15.4658
1979-02-25,1979,2,25,16.910004
1979-02-26,1979,2,26,16.715123
1979-02-27,1979,2,27,15.778545
1979-02-28,1979,2,28,17.288794
1979-03-01,1979,3,1,16.735344
1979-03-02,1979,3,2,14.122698
1979-03-03,1979,3,3,15.377603
1979-03-04,1979,3,4,13.831014
1979-03-05,1979,3,5,15.61004
1979-03-06,1979,3,6,14.146679
1979-03-07,1979,3,7,16.291934
1979-03-08,1979,3,8,13.048474
1979-03-09,1979,3,9,14.838485
1979-03-10,1979,3,10,14.738161
1979-03-11,1979,3,11,13.860283
1979-03-12,1979,3,12,12.603067
1979-03-13,1979,3,13,15.290232
1979-03-14,1979,3,14,16.467052
1979-03-15,1979,3,15,16.127847
1979-03-16,1979,3,16,16.730923
1979-03-17,1979,3,17,16.787182
1979-03-18,1979,3,18,16.335723
1979-03-19,1979,3,19,17.193814
