"date","year","month","day","5722002"
1979-01-01,1979,1,1,17.0482346774194
1979-02-01,1979,2,1,15.5217376428571
1979-03-01,1979,3,1,15.2421689677419
1979-04-01,1979,4,1,12.3142728966667
1979-05-01,1979,5,1,8.50165656129032
1979-06-01,1979,6,1,7.23880107333333
1979-07-01,1979,7,1,8.06579367290323
1979-08-01,1979,8,1,6.98217550580645
1979-09-01,1979,9,1,5.45173042446667
1979-10-01,1979,10,1,10.1585107612903
1979-11-01,1979,11,1,11.66912098
1979-12-01,1979,12,1,13.8618191774194
1980-01-01,1980,1,1,16.4112870967742
1980-02-01,1980,2,1,14.8716306862069
1980-03-01,1980,3,1,17.2052343225806
1980-04-01,1980,4,1,8.95179109666667
1980-05-01,1980,5,1,7.46862550322581
1980-06-01,1980,6,1,5.5314519958
1980-07-01,1980,7,1,3.14741012064516
1980-08-01,1980,8,1,6.18461102903226
1980-09-01,1980,9,1,8.44700137433333
1980-10-01,1980,10,1,9.55852683870968
1980-11-01,1980,11,1,11.41705719
1980-12-01,1980,12,1,14.4994389225806
1981-01-01,1981,1,1,14.8433399032258
1981-02-01,1981,2,1,17.1641089285714
1981-03-01,1981,3,1,15.577519983871
1981-04-01,1981,4,1,12.46478192
1981-05-01,1981,5,1,7.6887666
1981-06-01,1981,6,1,4.710146667
1981-07-01,1981,7,1,5.15952698225806
1981-08-01,1981,8,1,6.51309775209677
1981-09-01,1981,9,1,7.72064308266667
1981-10-01,1981,10,1,8.91097141419355
1981-11-01,1981,11,1,12.26478904
1981-12-01,1981,12,1,15.6207114225806
1982-01-01,1982,1,1,16.2644502580645
1982-02-01,1982,2,1,15.1070439285714
1982-03-01,1982,3,1,14.6695265483871
1982-04-01,1982,4,1,13.6492141766667
1982-05-01,1982,5,1,7.96493389032258
1982-06-01,1982,6,1,3.16890231186667
1982-07-01,1982,7,1,4.01481505183871
1982-08-01,1982,8,1,6.84480232258065
1982-09-01,1982,9,1,7.39551819666667
1982-10-01,1982,10,1,8.95170603225806
1982-11-01,1982,11,1,11.3163324766667
1982-12-01,1982,12,1,15.5793084548387
1983-01-01,1983,1,1,15.961835
1983-02-01,1983,2,1,15.9820445142857
1983-03-01,1983,3,1,15.4302422258065
1983-04-01,1983,4,1,12.0104597
1983-05-01,1983,5,1,6.05319674741935
1983-06-01,1983,6,1,1.225736681
1983-07-01,1983,7,1,2.4141124383871
1983-08-01,1983,8,1,3.906483417
1983-09-01,1983,9,1,4.48074987226667
1983-10-01,1983,10,1,10.8618090548387
1983-11-01,1983,11,1,13.6659529866667
1983-12-01,1983,12,1,16.3758604516129
1984-01-01,1984,1,1,16.1842208387097
1984-02-01,1984,2,1,16.0195092068966
1984-03-01,1984,3,1,14.7516152548387
1984-04-01,1984,4,1,12.1108292433333
1984-05-01,1984,5,1,4.92979337258065
1984-06-01,1984,6,1,1.47110155936667
1984-07-01,1984,7,1,3.73672631951613
1984-08-01,1984,8,1,3.41463556709677
1984-09-01,1984,9,1,6.25378326186667
1984-10-01,1984,10,1,9.81200977193548
1984-11-01,1984,11,1,11.3835431366667
1984-12-01,1984,12,1,14.2934529032258
1985-01-01,1985,1,1,15.1833343548387
1985-02-01,1985,2,1,16.5813478928571
1985-03-01,1985,3,1,14.9037033064516
1985-04-01,1985,4,1,11.8875252933333
1985-05-01,1985,5,1,9.3082236
1985-06-01,1985,6,1,8.17201739666667
1985-07-01,1985,7,1,3.71144835032258
1985-08-01,1985,8,1,5.43485818158064
1985-09-01,1985,9,1,8.30331245
1985-10-01,1985,10,1,9.1577273
1985-11-01,1985,11,1,13.0637231133333
1985-12-01,1985,12,1,15.3903401612903
1986-01-01,1986,1,1,16.7072253548387
1986-02-01,1986,2,1,15.5337508928571
1986-03-01,1986,3,1,14.9715126451613
1986-04-01,1986,4,1,11.5716745466667
1986-05-01,1986,5,1,6.97511010580645
1986-06-01,1986,6,1,4.68694797333333
1986-07-01,1986,7,1,8.30516497741935
1986-08-01,1986,8,1,5.95052832064516
1986-09-01,1986,9,1,7.63774728466667
1986-10-01,1986,10,1,10.4246734612903
1986-11-01,1986,11,1,11.4041879666667
1986-12-01,1986,12,1,16.3294543225806
1987-01-01,1987,1,1,17.0835100645161
1987-02-01,1987,2,1,17.4593638571429
1987-03-01,1987,3,1,15.193551283871
1987-04-01,1987,4,1,13.0021229333333
1987-05-01,1987,5,1,4.67568613225806
1987-06-01,1987,6,1,6.98625317533333
1987-07-01,1987,7,1,2.76864282912903
1987-08-01,1987,8,1,3.99264469609677
1987-09-01,1987,9,1,6.33638070966667
1987-10-01,1987,10,1,9.64266391290323
1987-11-01,1987,11,1,13.7316765166667
1987-12-01,1987,12,1,14.692041
1988-01-01,1988,1,1,15.7935840645161
1988-02-01,1988,2,1,16.3321853103448
1988-03-01,1988,3,1,15.6793190709677
1988-04-01,1988,4,1,12.9566574533333
1988-05-01,1988,5,1,8.68191259354839
1988-06-01,1988,6,1,5.98199631966667
1988-07-01,1988,7,1,4.28373201048387
1988-08-01,1988,8,1,4.26428352645161
1988-09-01,1988,9,1,6.29894280266667
1988-10-01,1988,10,1,10.1018952064516
1988-11-01,1988,11,1,13.7035868366667
1988-12-01,1988,12,1,15.1142367741935
1989-01-01,1989,1,1,16.8987769354839
1989-02-01,1989,2,1,17.4182633214286
1989-03-01,1989,3,1,14.9177370645161
1989-04-01,1989,4,1,13.5322777
1989-05-01,1989,5,1,8.90073852064516
1989-06-01,1989,6,1,7.4552107049
1989-07-01,1989,7,1,5.27090170012903
1989-08-01,1989,8,1,4.71712469406452
1989-09-01,1989,9,1,6.42630048033333
1989-10-01,1989,10,1,11.3451369451613
1989-11-01,1989,11,1,13.5475402966667
1989-12-01,1989,12,1,15.2626345322581
1990-01-01,1990,1,1,17.0555681290323
1990-02-01,1990,2,1,15.9806116071429
1990-03-01,1990,3,1,14.476011816129
1990-04-01,1990,4,1,10.19831403
1990-05-01,1990,5,1,8.02320310709677
1990-06-01,1990,6,1,7.49756435333333
1990-07-01,1990,7,1,3.99308914258065
1990-08-01,1990,8,1,8.36631548064516
1990-09-01,1990,9,1,7.51236802333333
1990-10-01,1990,10,1,9.59807578064516
1990-11-01,1990,11,1,13.34276519
1990-12-01,1990,12,1,15.7457941129032
1991-01-01,1991,1,1,16.0979781290323
1991-02-01,1991,2,1,16.9606623928571
1991-03-01,1991,3,1,16.395211
1991-04-01,1991,4,1,11.6432860066667
1991-05-01,1991,5,1,8.58341899032258
1991-06-01,1991,6,1,4.8100493785
1991-07-01,1991,7,1,3.07847692903226
1991-08-01,1991,8,1,5.26708485645161
1991-09-01,1991,9,1,8.77565466666667
1991-10-01,1991,10,1,9.13972597193548
1991-11-01,1991,11,1,12.5398680133333
1991-12-01,1991,12,1,13.4381683774194
1992-01-01,1992,1,1,17.2023793548387
1992-02-01,1992,2,1,15.2572133103448
1992-03-01,1992,3,1,15.679410183871
1992-04-01,1992,4,1,10.3370009633333
1992-05-01,1992,5,1,4.99939427516129
1992-06-01,1992,6,1,3.01863108133333
1992-07-01,1992,7,1,2.60260327741935
1992-08-01,1992,8,1,5.26385306048387
1992-09-01,1992,9,1,8.21286914
1992-10-01,1992,10,1,10.5569052258065
1992-11-01,1992,11,1,12.3782598466667
1992-12-01,1992,12,1,15.2653275483871
1993-01-01,1993,1,1,17.2270593548387
1993-02-01,1993,2,1,16.4231860714286
1993-03-01,1993,3,1,16.6297962903226
1993-04-01,1993,4,1,11.2604437866667
1993-05-01,1993,5,1,5.13795481516129
1993-06-01,1993,6,1,5.7134330694
1993-07-01,1993,7,1,3.697680502
1993-08-01,1993,8,1,7.39170467419355
1993-09-01,1993,9,1,6.78362922966667
1993-10-01,1993,10,1,10.1244071096774
1993-11-01,1993,11,1,12.3531329233333
1993-12-01,1993,12,1,15.6655813225806
1994-01-01,1994,1,1,16.9201020967742
1994-02-01,1994,2,1,15.4166298571429
1994-03-01,1994,3,1,15.9750418709677
1994-04-01,1994,4,1,12.0155718466667
1994-05-01,1994,5,1,8.91920053870968
1994-06-01,1994,6,1,5.64432569033333
1994-07-01,1994,7,1,3.09906690225806
1994-08-01,1994,8,1,6.36180962853548
1994-09-01,1994,9,1,10.3759520766667
1994-10-01,1994,10,1,9.58505426451613
1994-11-01,1994,11,1,13.29861646
1994-12-01,1994,12,1,17.0584559129032
1995-01-01,1995,1,1,16.8810007419355
1995-02-01,1995,2,1,15.1629816071429
1995-03-01,1995,3,1,15.3525467419355
1995-04-01,1995,4,1,13.0340886666667
1995-05-01,1995,5,1,10.7681564064516
1995-06-01,1995,6,1,6.15195025466667
1995-07-01,1995,7,1,1.18508155858065
1995-08-01,1995,8,1,3.5233115796129
1995-09-01,1995,9,1,8.22581722333333
1995-10-01,1995,10,1,10.0094272064516
1995-11-01,1995,11,1,13.6113466866667
1995-12-01,1995,12,1,16.4040214516129
1996-01-01,1996,1,1,15.0704105806452
1996-02-01,1996,2,1,15.9132767931034
1996-03-01,1996,3,1,15.6473044193548
1996-04-01,1996,4,1,10.9209362966667
1996-05-01,1996,5,1,10.2712811258065
1996-06-01,1996,6,1,5.82877942486667
1996-07-01,1996,7,1,6.75751381019355
1996-08-01,1996,8,1,5.36422623409677
1996-09-01,1996,9,1,8.82405203333333
1996-10-01,1996,10,1,10.2652437677419
1996-11-01,1996,11,1,14.4660199133333
1996-12-01,1996,12,1,15.0778283741935
1997-01-01,1997,1,1,17.1229670322581
1997-02-01,1997,2,1,17.2355154642857
1997-03-01,1997,3,1,16.4478125806452
1997-04-01,1997,4,1,14.68737838
1997-05-01,1997,5,1,10.1906971516129
1997-06-01,1997,6,1,2.19887809863333
1997-07-01,1997,7,1,5.78321724932258
1997-08-01,1997,8,1,6.21649638622581
1997-09-01,1997,9,1,7.00880886
1997-10-01,1997,10,1,6.70044549967742
1997-11-01,1997,11,1,11.4178094533333
1997-12-01,1997,12,1,14.9803813258065
1998-01-01,1998,1,1,18.3812583870968
1998-02-01,1998,2,1,15.0793830357143
1998-03-01,1998,3,1,14.9921131935484
1998-04-01,1998,4,1,9.84367868333333
1998-05-01,1998,5,1,8.46220888064516
1998-06-01,1998,6,1,6.0149324677
1998-07-01,1998,7,1,7.00979039354839
1998-08-01,1998,8,1,6.88689921645161
1998-09-01,1998,9,1,6.79268780233333
1998-10-01,1998,10,1,13.0039353516129
1998-11-01,1998,11,1,13.5381047666667
1998-12-01,1998,12,1,15.8530120451613
1999-01-01,1999,1,1,15.6370936451613
1999-02-01,1999,2,1,17.1387271428571
1999-03-01,1999,3,1,14.3103211645161
1999-04-01,1999,4,1,12.5024418566667
1999-05-01,1999,5,1,10.4263078967742
1999-06-01,1999,6,1,5.42363356133333
1999-07-01,1999,7,1,3.17398026
1999-08-01,1999,8,1,5.66198226077419
1999-09-01,1999,9,1,6.326917825
1999-10-01,1999,10,1,9.63887660322581
1999-11-01,1999,11,1,12.5047334966667
1999-12-01,1999,12,1,14.8006389516129
2000-01-01,2000,1,1,16.8175779677419
2000-02-01,2000,2,1,15.0840144275862
2000-03-01,2000,3,1,14.6127353870968
2000-04-01,2000,4,1,12.94918206
2000-05-01,2000,5,1,6.93813970967742
2000-06-01,2000,6,1,2.69915837866667
2000-07-01,2000,7,1,3.78876770322581
2000-08-01,2000,8,1,5.51671704677419
2000-09-01,2000,9,1,6.21038797596667
2000-10-01,2000,10,1,10.8116574741935
2000-11-01,2000,11,1,11.24259657
2000-12-01,2000,12,1,15.7342936451613
2001-01-01,2001,1,1,16.1333797741935
2001-02-01,2001,2,1,17.9932014285714
2001-03-01,2001,3,1,15.7311538870968
2001-04-01,2001,4,1,11.2345969233333
2001-05-01,2001,5,1,6.04600628451613
2001-06-01,2001,6,1,5.85826621
2001-07-01,2001,7,1,3.77133803370968
2001-08-01,2001,8,1,5.64697134809677
2001-09-01,2001,9,1,6.367776917
2001-10-01,2001,10,1,11.4827559677419
2001-11-01,2001,11,1,11.8059506166667
2001-12-01,2001,12,1,16.7348131322581
2002-01-01,2002,1,1,16.1203563548387
2002-02-01,2002,2,1,16.2323996071429
2002-03-01,2002,3,1,15.4375081193548
2002-04-01,2002,4,1,10.87583574
2002-05-01,2002,5,1,7.71397816435484
2002-06-01,2002,6,1,4.376164688
2002-07-01,2002,7,1,3.58368883870968
2002-08-01,2002,8,1,4.80712319258065
2002-09-01,2002,9,1,7.10946100333333
2002-10-01,2002,10,1,9.80838149354839
2002-11-01,2002,11,1,12.2272184533333
2002-12-01,2002,12,1,14.6245446516129
2003-01-01,2003,1,1,16.9930199709677
2003-02-01,2003,2,1,16.2701381428571
2003-03-01,2003,3,1,16.1148758387097
2003-04-01,2003,4,1,12.5674734566667
2003-05-01,2003,5,1,9.97214393548387
2003-06-01,2003,6,1,6.79993525333333
2003-07-01,2003,7,1,4.44979563451613
2003-08-01,2003,8,1,7.14472540645161
2003-09-01,2003,9,1,8.577896603
2003-10-01,2003,10,1,12.1205080258065
2003-11-01,2003,11,1,13.2278976033333
2003-12-01,2003,12,1,14.7158376774194
2004-01-01,2004,1,1,17.1488256774194
2004-02-01,2004,2,1,16.1262455862069
2004-03-01,2004,3,1,16.0078204193548
2004-04-01,2004,4,1,10.7583087666667
2004-05-01,2004,5,1,8.16928299677419
2004-06-01,2004,6,1,6.02084388833333
2004-07-01,2004,7,1,4.85408981919355
2004-08-01,2004,8,1,4.70231773129032
2004-09-01,2004,9,1,9.15296669333333
2004-10-01,2004,10,1,9.17070195806452
2004-11-01,2004,11,1,11.1968057366667
