"date","year","month","day","5722002"
1979-01-01,1979,1,1,9.04365675806452
1979-02-01,1979,2,1,7.542369075
1979-03-01,1979,3,1,6.83759782580645
1979-04-01,1979,4,1,3.32127092933333
1979-05-01,1979,5,1,0.165821092903226
1979-06-01,1979,6,1,-2.1173816008
1979-07-01,1979,7,1,-1.49077569012903
1979-08-01,1979,8,1,-1.64834341758065
1979-09-01,1979,9,1,-3.60599757533333
1979-10-01,1979,10,1,0.706213472580645
1979-11-01,1979,11,1,4.081399535
1979-12-01,1979,12,1,6.71343449032258
1980-01-01,1980,1,1,8.40184808064516
1980-02-01,1980,2,1,7.42132003448276
1980-03-01,1980,3,1,8.96119923548387
1980-04-01,1980,4,1,2.265784626
1980-05-01,1980,5,1,0.578727924032258
1980-06-01,1980,6,1,-1.48386482253333
1980-07-01,1980,7,1,-3.86589816096774
1980-08-01,1980,8,1,-3.38223482258065
1980-09-01,1980,9,1,-1.4534003413
1980-10-01,1980,10,1,0.246445960270968
1980-11-01,1980,11,1,2.96686818033333
1980-12-01,1980,12,1,6.58274511290323
1981-01-01,1981,1,1,6.90734811935484
1981-02-01,1981,2,1,8.7306226
1981-03-01,1981,3,1,7.25339675806452
1981-04-01,1981,4,1,3.85803977566667
1981-05-01,1981,5,1,0.980674234935484
1981-06-01,1981,6,1,-2.5569123701
1981-07-01,1981,7,1,-3.26648082996774
1981-08-01,1981,8,1,-2.12785938580645
1981-09-01,1981,9,1,-1.80107075633333
1981-10-01,1981,10,1,-0.0831663290322581
1981-11-01,1981,11,1,3.78883367433333
1981-12-01,1981,12,1,6.48843273548387
1982-01-01,1982,1,1,8.42318791935484
1982-02-01,1982,2,1,7.57179557142857
1982-03-01,1982,3,1,6.18193689548387
1982-04-01,1982,4,1,4.66482110866667
1982-05-01,1982,5,1,0.556406517096774
1982-06-01,1982,6,1,-1.1114524884
1982-07-01,1982,7,1,-1.62870243845161
1982-08-01,1982,8,1,-0.797742746
1982-09-01,1982,9,1,0.188707100633333
1982-10-01,1982,10,1,-0.0465930392903226
1982-11-01,1982,11,1,3.08197603766667
1982-12-01,1982,12,1,7.56192426774194
1983-01-01,1983,1,1,8.14537776129032
1983-02-01,1983,2,1,7.81947729285714
1983-03-01,1983,3,1,7.15780454516129
1983-04-01,1983,4,1,2.97104618666667
1983-05-01,1983,5,1,-1.66535609777419
1983-06-01,1983,6,1,-4.42616341566667
1983-07-01,1983,7,1,-4.4085874625229
1983-08-01,1983,8,1,-3.76383224912903
1983-09-01,1983,9,1,-4.36718395266667
1983-10-01,1983,10,1,1.38822695870968
1983-11-01,1983,11,1,5.02182915666667
1983-12-01,1983,12,1,8.05913306774194
1984-01-01,1984,1,1,8.82089650967742
1984-02-01,1984,2,1,8.11103517241379
1984-03-01,1984,3,1,7.07360484870968
1984-04-01,1984,4,1,3.07610963333333
1984-05-01,1984,5,1,-1.64987758390323
1984-06-01,1984,6,1,-3.63698656603333
1984-07-01,1984,7,1,-2.45746949813065
1984-08-01,1984,8,1,-5.16124819548387
1984-09-01,1984,9,1,-2.02597901143333
1984-10-01,1984,10,1,1.02390590745161
1984-11-01,1984,11,1,3.563154984
1984-12-01,1984,12,1,5.84577112580645
1985-01-01,1985,1,1,7.83796202903226
1985-02-01,1985,2,1,8.24659663214286
1985-03-01,1985,3,1,7.07530991612903
1985-04-01,1985,4,1,2.91206206333333
1985-05-01,1985,5,1,0.614737568064516
1985-06-01,1985,6,1,0.429049430666667
1985-07-01,1985,7,1,-3.88391899212903
1985-08-01,1985,8,1,-4.35011896096774
1985-09-01,1985,9,1,-1.46830769423333
1985-10-01,1985,10,1,0.746087611867742
1985-11-01,1985,11,1,4.63753588
1985-12-01,1985,12,1,7.06256929677419
1986-01-01,1986,1,1,8.38821572258064
1986-02-01,1986,2,1,8.29827516785714
1986-03-01,1986,3,1,6.97426888387097
1986-04-01,1986,4,1,3.44935209133333
1986-05-01,1986,5,1,0.42379991883871
1986-06-01,1986,6,1,-0.887419837663333
1986-07-01,1986,7,1,-0.324819448645161
1986-08-01,1986,8,1,-2.03183359867742
1986-09-01,1986,9,1,-1.2766345311
1986-10-01,1986,10,1,1.90652661741935
1986-11-01,1986,11,1,3.617677966
1986-12-01,1986,12,1,7.83846594516129
1987-01-01,1987,1,1,8.56431118709677
1987-02-01,1987,2,1,9.35882226428572
1987-03-01,1987,3,1,7.86172595806452
1987-04-01,1987,4,1,3.89250591433333
1987-05-01,1987,5,1,-2.03082300577419
1987-06-01,1987,6,1,-0.213810460533333
1987-07-01,1987,7,1,-3.23647282548387
1987-08-01,1987,8,1,-3.35070317741935
1987-09-01,1987,9,1,-2.406647574
1987-10-01,1987,10,1,0.535287659129032
1987-11-01,1987,11,1,4.65229560233333
1987-12-01,1987,12,1,6.39952928064516
1988-01-01,1988,1,1,7.27335016774194
1988-02-01,1988,2,1,8.35905014482759
1988-03-01,1988,3,1,7.98589787419355
1988-04-01,1988,4,1,3.8093519963
1988-05-01,1988,5,1,-0.280234047015806
1988-06-01,1988,6,1,-2.4900465252
1988-07-01,1988,7,1,-3.94596638483871
